Player_num,Player,mu.hat.i,V.hat.i,N,mu.hat.MLE.i,p_val,stroke_category
29221,Webb Simpson,0.06314161355395606,1.6777067758599843e-4,974,0.06768377823408624,1.0891351890322556e-6,Approaching
34046,Jordan Spieth,0.06049459770530443,1.800798739757309e-4,1024,0.06513964843750002,6.544126708495504e-6,Approaching
23983,Luke Donald,0.06257576062674486,1.9894050523640766e-4,823,0.06799270959902795,9.141580147517047e-6,Approaching
25396,Kevin Na,0.05464164453900236,1.565385382738426e-4,1090,0.058127522935779816,1.2579132007397652e-5,Approaching
33448,Justin Thomas,0.04839869782772216,1.265643545995478e-4,1457,0.05074742621825668,1.692060489563039e-5,Approaching
30852,Ryo Ishikawa,0.05217338693848136,1.5572552171069025e-4,1156,0.05542993079584776,2.9036549688295303e-5,Approaching
29926,Danny Lee,0.044834154495855816,1.2361330762943986e-4,1557,0.046888246628131014,5.518226531244999e-5,Approaching
06567,Vijay Singh,0.04894105026191018,1.5106300872522646e-4,1077,0.05182636954503249,6.83563352470457e-5,Approaching
25364,Paul Casey,0.055128671428478805,1.9242955036229465e-4,950,0.05955157894736842,7.063813207154521e-5,Approaching
23108,Matt Kuchar,0.044988580907582544,1.3119916270183657e-4,1204,0.04718853820598007,8.576708003829238e-5,Approaching
24490,George McNeill,0.041014351249526404,1.0989963215004017e-4,1368,0.042603801169590665,9.140221910016321e-5,Approaching
06527,Steve Stricker,0.06900764855483972,3.15117756830781e-4,446,0.07939461883408072,1.0131787976182179e-4,Approaching
10809,Jim Furyk,0.051209049744783505,1.8787579604168686e-4,791,0.05510745891276864,1.869423330172166e-4,Approaching
33122,Russell Knox,0.039834960932354745,1.1713365995092017e-4,1321,0.04146177138531416,2.3264775393386006e-4,Approaching
21528,Henrik Stenson,0.05252322491107056,2.060982153008723e-4,652,0.05699539877300614,2.536023039677486e-4,Approaching
24924,Bill Haas,0.0444888370212939,1.4927952474063519e-4,1084,0.046976014760147594,2.7131367979723567e-4,Approaching
21878,Mark Wilson,0.04026390934971976,1.2389871744064977e-4,1236,0.042019417475728155,2.977112920005114e-4,Approaching
34360,Patrick Reed,0.04290537817177055,1.473290735377933e-4,1196,0.04523076923076924,4.0805048536610427e-4,Approaching
25720,Chad Collins,0.04608686253620902,1.7076291630988764e-4,968,0.049115702479338844,4.206204203534232e-4,Approaching
24925,Jonathan Byrd,0.05039550317560884,2.0466782130181105e-4,781,0.054588988476312425,4.272877791254396e-4,Approaching
27963,Chris Stroud,0.04356981408253198,1.5419741406157736e-4,1050,0.04606857142857141,4.502898778572012e-4,Approaching
24357,K.J. Choi,0.04329911741069371,1.6830082599591226e-4,888,0.04602252252252253,8.450148958395245e-4,Approaching
22405,Justin Rose,0.04842573808795918,2.1100802954143608e-4,748,0.0525307486631016,8.56984611006174e-4,Approaching
32839,Hideki Matsuyama,0.040600801830483806,1.5403903777655702e-4,1082,0.042847504621072084,0.0010705759262819466,Approaching
28132,Tyrone Van Aswegen,0.048826074746711766,2.313132216214108e-4,643,0.05343079315707619,0.001325761678970328,Approaching
33141,Keegan Bradley,0.03969097704316448,1.5288341866378184e-4,985,0.04184365482233503,0.001327125680559199,Approaching
24507,Jason Bohn,0.03687832636182493,1.3345500374130177e-4,1326,0.038535444947209646,0.0014114438526296369,Approaching
20691,Greg Owen,0.051306634357925776,2.6052226291010055e-4,614,0.0569543973941368,0.0014793127808823384,Approaching
28486,Michael Putnam,0.04031941646876657,1.6108971303856816e-4,1041,0.042653218059558115,0.0014894552050385207,Approaching
29425,Andrew Svoboda,-0.03977956821848721,1.7428160746792704e-4,1098,-0.044929872495446256,0.0025847109313564993,Approaching
20771,Steven Alker,0.043228740275096746,2.105390319328162e-4,778,0.0467082262210797,0.0028895930844886394,Approaching
24846,Ricky Barnes,0.03879981395373033,1.838921937042299e-4,986,0.04134279918864098,0.004220426485021341,Approaching
25240,D.A. Points,0.03933309596952077,1.9447497783443745e-4,895,0.04209608938547486,0.004794871590827358,Approaching
25274,Steven Bowditch,0.033496185980482845,1.420424057621292e-4,1376,0.0350079941860465,0.00494618435610502,Approaching
27141,J.B. Holmes,0.0373143805668675,1.766666625347783e-4,1040,0.03960288461538464,0.004994855766702819,Approaching
29518,Brendan Steele,0.035079643017306227,1.5999827178620767e-4,1174,0.036937819420783634,0.005549021120824186,Approaching
35532,Tom Hoge,0.036763252017712966,1.75953705639416e-4,1011,0.03898813056379821,0.005579885863041615,Approaching
31202,William McGirt,0.02851412266826483,1.065335275824212e-4,1506,0.029344621513944236,0.0057344275544790446,Approaching
24024,Zach Johnson,0.03379073870227731,1.5034084180573832e-4,1073,0.03542218080149115,0.005853572332286594,Approaching
34261,Scott Langley,0.030872453364490595,1.2759726642878433e-4,1222,0.03204009819967266,0.006274735133478428,Approaching
30926,Chris Kirk,0.03749083308614148,1.9894909845060438e-4,869,0.04011967779056384,0.007860713970263252,Approaching
25900,Lucas Glover,0.03297742085827265,1.5844696732797935e-4,1093,0.034634034766697165,0.008797110441812916,Approaching
08931,Glen Day,0.059447300049972625,5.173796064827161e-4,248,0.07548387096774192,0.00896122284666257,Approaching
37454,Whee Kim,0.03643340231263843,1.9476450910086495e-4,852,0.03888615023474179,0.009037641750364664,Approaching
24511,Thongchai Jaidee,-0.0719961398250771,7.967282296664786e-4,220,-0.12936818181818183,0.010751637374204542,Approaching
34431,Robert Streb,0.027133726305419034,1.1419509304620502e-4,1469,0.027943498978897214,0.01111270694335321,Approaching
23621,Rory Sabbatini,0.03213462894358906,1.6059605641129918e-4,1018,0.03374165029469546,0.01122078963767028,Approaching
23325,Vaughn Taylor,0.04825289242652745,3.806661182604624e-4,534,0.05639887640449438,0.013392624825465948,Approaching
32200,Roberto Castro,0.04098465836490984,2.882343320078774e-4,550,0.045585454545454554,0.015775766834482487,Approaching
28089,Jason Day,0.035836296877118326,2.2815340355080807e-4,868,0.03868663594470046,0.017667267327356524,Approaching
30927,Brendon Todd,0.030312347119839253,1.63997918904519e-4,1177,0.031792693288020396,0.017932367893899556,Approaching
27095,Nick Watney,0.02642371299329348,1.3743765085504346e-4,1252,0.027357827476038342,0.024200389900368657,Approaching
23800,Bryce Molder,0.027153598312640505,1.4618955536959812e-4,1201,0.028209825145711905,0.024717438005746384,Approaching
30736,Oscar Fraustro,-0.04332097755293088,3.7318408032633617e-4,621,-0.05652495974235105,0.02492766130724985,Approaching
27119,Koumei Oda,-0.06370829512106158,8.324865108623254e-4,190,-0.1195421052631579,0.027241327580273162,Approaching
28259,Sangmoon Bae,-0.027874469151696533,1.6056746039266293e-4,1358,-0.031538291605301895,0.02782301569874531,Approaching
34262,Jon Curran,0.02568662963600945,1.3955291906510596e-4,999,0.02658058058058058,0.02967577610566327,Approaching
25198,Francesco Molinari,0.03291765439902718,2.3687071150707513e-4,666,0.035496996996996995,0.03245066303177716,Approaching
12510,Chad Campbell,0.02195040915627521,1.0853812665135689e-4,1381,0.022418537291817517,0.035123079001737334,Approaching
25686,Jason Dufner,0.033331080787934037,2.5407763245607147e-4,732,0.036185792349726784,0.03652282181735482,Approaching
21961,Charles Howell III,0.020727178824234832,1.0039850772052033e-4,1522,0.02109329829172141,0.038583617763501346,Approaching
21805,Harrison Frazar,-0.052266277424779586,6.61342964606304e-4,262,-0.08520229007633588,0.042113644777521025,Approaching
24361,Pat Perez,0.024709923149528214,1.5396454144877224e-4,1283,0.025621979734996077,0.04643565212655072,Approaching
19803,Ryan Armour,0.03439589901055599,2.999155597680207e-4,498,0.03804618473895584,0.04701914735094347,Approaching
33419,Cameron Tringale,0.023225449476795664,1.3764580116601226e-4,1225,0.02392326530612243,0.04774582835920442,Approaching
28500,Martin Flores,0.02235422216957918,1.3296768470726496e-4,1229,0.02296419853539462,0.05255098767595789,Approaching
20229,Stewart Cink,0.025222768068492243,1.6973954964857524e-4,990,0.026284848484848494,0.05286995550746984,Approaching
26329,Louis Oosthuizen,0.028440297593259296,2.2265112906030761e-4,730,0.030280821917808214,0.05665089505445698,Approaching
02206,David Toms,0.025217102608893715,1.79577750440657e-4,849,0.026346289752650166,0.059865849017129553,Approaching
21407,Arjun Atwal,0.04279414127152295,5.385213125656749e-4,242,0.053545454545454556,0.06516955764783185,Approaching
25632,Jimmy Walker,0.024668654843003377,1.7969671395447385e-4,989,0.02574418604651166,0.06573242881922228,Approaching
32102,Rickie Fowler,0.027245039025427728,2.2483523152051562e-4,883,0.028953567383918456,0.06921690573494932,Approaching
29725,Tony Finau,0.021549367348707417,1.435479841147665e-4,1409,0.022149041873669284,0.07208106839750396,Approaching
26758,David Hearn,0.020820014843809315,1.4459149536691582e-4,1299,0.021367205542725167,0.083371744631088,Approaching
29289,Seung-Yul Noh,0.024786783746812053,2.0545356785642952e-4,836,0.026047846889952167,0.08376040801744984,Approaching
29222,Billy Hurley III,0.022061058710126796,1.628958605852204e-4,968,0.02279442148760331,0.08389723628406845,Approaching
24358,Robert Garrigus,-0.028139881476459926,2.668914470098738e-4,847,-0.03464698937426211,0.08498206591445784,Approaching
25444,Justin Hicks,-0.03370758156457988,3.8430609622856467e-4,362,-0.04509668508287292,0.08553289261828587,Approaching
27933,John Merrick,0.023286597128009904,1.8656274384602198e-4,885,0.024264406779661025,0.08821698775382078,Approaching
33461,Morgan Hoffmann,0.022039771099536563,1.706286623337589e-4,1085,0.02280921658986177,0.09155405882912122,Approaching
35891,Cameron Smith,0.031592959199379635,3.506836738350381e-4,422,0.035393364928909966,0.09159031846647145,Approaching
32493,Gary Stal,-0.055098745569219815,0.0010723364857183437,125,-0.135768,0.09245609015623188,Approaching
34099,Harris English,0.018430822980239455,1.2414664662760235e-4,1362,0.018736417033773874,0.0980952270136918,Approaching
35541,John Peterson,0.019954891277442995,1.4606743117784164e-4,1199,0.0204395329441201,0.09871870630385028,Approaching
25804,Bubba Watson,0.023411983239539972,2.0789255113148452e-4,854,0.024529274004683847,0.10442951349837172,Approaching
27770,Camilo Villegas,0.02009460645163249,1.5481350700585802e-4,1155,0.020622510822510817,0.10630863817731377,Approaching
08075,Jerry Kelly,0.019194916600062378,1.5439382128056844e-4,1010,0.01964554455445544,0.12239549883016464,Approaching
29910,Blake Adams,-0.03281106691743429,4.6247701283565456e-4,416,-0.04694711538461538,0.12707922834498112,Approaching
40026,Daniel Berger,0.019104703915184623,1.586948882479678e-4,1251,0.0195611510791367,0.12937847666321067,Approaching
33449,Zack Sucher,-0.02662035959183153,3.1485656087504516e-4,528,-0.034231060606060605,0.1335551046684487,Approaching
35539,Luke Guthrie,0.019429185501317444,1.689901040192474e-4,1041,0.01994812680115271,0.13501978265533882,Approaching
30978,Kiradech Aphibarnrat,-0.044598371098473664,8.904189073770069e-4,161,-0.0919751552795031,0.13502171293002177,Approaching
33204,Shane Lowry,-0.02983429801693663,4.036209708506461e-4,358,-0.04095530726256983,0.1375415518608415,Approaching
29420,Billy Horschel,-0.019281907913646038,1.6967361315215013e-4,1120,-0.02237142857142856,0.13879946678424782,Approaching
20472,Alex Cejka,0.01771563282778947,1.4447070966085702e-4,1201,0.01801915070774355,0.14050966136237839,Approaching
34563,Chesson Hadley,-0.019072713402555768,1.681192242468128e-4,1375,-0.02211199999999999,0.1412992497312229,Approaching
20376,Stephen Gallacher,-0.03622940677622134,6.068821784782936e-4,315,-0.05821904761904764,0.14138606628478426,Approaching
01948,Tim Petrovic,-0.03382916972400634,5.302374058493204e-4,301,-0.051159468438538205,0.14180126511461227,Approaching
46435,Austin Cook,0.030895928547148198,4.4484586741348894e-4,321,0.03580996884735201,0.14295879424697538,Approaching
23638,Brendon de Jonge,0.016854453340726445,1.3274344267591779e-4,1429,0.017069979006298117,0.1435007426954183,Approaching
