Player_num,Player,mu.hat.i,V.hat.i,N,mu.hat.MLE.i,p_val,stroke_category
25900,Lucas Glover,-0.0546664566758626,1.069983603344846e-4,1277,-0.07876898981989035,1.258103202085778e-7,Putting
31193,Jim Renner,-0.04411720930318652,1.0806469957265431e-4,980,-0.06370510204081634,2.1965903134557103e-5,Putting
24358,Robert Garrigus,-0.03459378793123711,1.1322599111218484e-4,957,-0.05087356321839081,0.0011497538282001644,Putting
10885,Robert Allenby,-0.032862985324198055,1.1330613350728856e-4,892,-0.048303811659192834,0.0020197653746596824,Putting
32334,Charlie Beljan,-0.03436818377503452,1.253184624136511e-4,999,-0.05326026026026026,0.002140046788781097,Putting
27933,John Merrick,-0.032747711535799855,1.1795818110943314e-4,1030,-0.04909514563106795,0.0025680516033454674,Putting
25834,Daniel Summerhays,0.024794703436883996,7.405657181493309e-5,1573,0.03209345200254292,0.00396133231931439,Putting
25444,Justin Hicks,-0.03601733698951838,1.7993087445608897e-4,426,-0.07408920187793429,0.007251040278064373,Putting
34099,Harris English,0.023132814275965044,7.570552084604816e-5,1544,0.030168393782383403,0.007844939067139919,Putting
28486,Michael Putnam,-0.026022748283149898,9.798698567098897e-5,1192,-0.035796140939597314,0.008566932999569626,Putting
27649,Brandt Snedeker,0.02460928696471264,9.081205367807658e-5,1309,0.03408861726508785,0.009810942007796497,Putting
28089,Jason Day,0.02662063951354668,1.070242338813107e-4,1003,0.03947657028913261,0.010075627131542541,Putting
25632,Jimmy Walker,0.025604617065064943,1.0152533444883077e-4,1126,0.037093250444049736,0.01104870842604566,Putting
30927,Brendon Todd,0.02267423755707567,8.12590381211761e-5,1337,0.03024382946896037,0.01189173342939887,Putting
25191,Gonzalo Fdez-Castano,-0.02552928193245015,1.0383088470025477e-4,1099,-0.03592447679708826,0.012231647336429839,Putting
34087,Carlos Sainz Jr,-0.02997475704474948,1.4435559677979231e-4,623,-0.05062600321027287,0.012602177072543368,Putting
37273,Derek Ernst,-0.02505624244463175,1.0153397004719592e-4,1108,-0.03492509025270759,0.012896133235692652,Putting
34046,Jordan Spieth,0.025104990728292514,1.0217619098714029e-4,1148,0.03648606271777004,0.013005437680960602,Putting
32200,Roberto Castro,-0.028679072107468864,1.421306121512141e-4,636,-0.04786635220125785,0.016146454360135856,Putting
34431,Robert Streb,0.020527467196130526,7.286285946362263e-5,1692,0.026523049645390068,0.016180510201637407,Putting
20691,Greg Owen,-0.02908455033348679,1.4660522318888318e-4,701,-0.049631954350927245,0.01630210220946714,Putting
06567,Vijay Singh,-0.022859967609446304,9.50710151696299e-5,1219,-0.031014766201804787,0.01905224977369347,Putting
34098,Russell Henley,0.022887909647664198,9.661375762708351e-5,1170,0.03253418803418803,0.019882611615067568,Putting
28780,Nicholas Thompson,-0.0231837145494499,1.0076984765808832e-4,1245,-0.03216626506024096,0.020915924396003916,Putting
22371,Aaron Baddeley,0.02304693370142913,1.0214333903622798e-4,1143,0.03354768153980753,0.022584879551613993,Putting
29221,Webb Simpson,-0.022972941486864722,1.0590598575749299e-4,1126,-0.0325239786856128,0.025593853983811234,Putting
25686,Jason Dufner,-0.026100061562216424,1.367657077099597e-4,834,-0.042365707434052755,0.025628982897213576,Putting
23353,J.J. Henry,-0.01955570414307196,7.857016447747835e-5,1347,-0.024889383815887168,0.027370089295827585,Putting
40058,Zac Blair,0.019365795182023995,7.982568424300373e-5,1553,0.02575531229877657,0.030194885809514876,Putting
34130,S.J. Park,-0.021167362645506903,9.655597146550273e-5,1107,-0.028834688346883464,0.031227928238333497,Putting
35891,Cameron Smith,0.027904783292149706,1.7144356721000424e-4,470,0.057548936170212776,0.033075154561557636,Putting
28023,Byron Smith,-0.02417605809725999,1.3314115003188598e-4,754,-0.03851193633952255,0.03615156548752587,Putting
23800,Bryce Molder,0.019060831320700185,8.541972154160269e-5,1360,0.025945588235294113,0.03917424911329192,Putting
19803,Ryan Armour,-0.02686222398558733,1.7117512180390385e-4,578,-0.052074394463667836,0.04005759015767946,Putting
21731,Freddie Jacobson,0.02207277200851356,1.1751665043135526e-4,720,0.03447083333333334,0.04173651580863888,Putting
