Player_num,Player,mu.hat.i,V.hat.i,N,mu.hat.MLE.i,p_val,stroke_category
25804,Bubba Watson,0.08788780648199969,9.424513235437593e-5,1008,0.09174603174603174,1.3891701866622217e-19,Driving
10423,Mike Weir,-0.1626358765454511,4.3194332100979834e-4,396,-0.2046338383838384,5.063043439168315e-15,Driving
32839,Hideki Matsuyama,0.05096785742493552,5.9727894061050555e-5,1260,0.05231507936507938,4.2556169644666756e-11,Driving
34256,Andrew Putnam,-0.0792078820964388,1.4641399992374547e-4,972,-0.085298353909465,5.909203864634864e-11,Driving
28089,Jason Day,0.0663797092356878,1.072589035862243e-4,1026,0.06966666666666667,1.4607515040012989e-10,Driving
34265,Will Wilcox,0.057609747259250915,9.139568245869747e-5,738,0.05999864498644986,1.6800947196685502e-9,Driving
02239,Scott Verplank,-0.10125002315329454,3.0980014252892014e-4,396,-0.1190050505050505,8.794913998693309e-9,Driving
28237,Rory McIlroy,0.06464702875800414,1.3060050190093005e-4,612,0.0685833333333333,1.5415904863499797e-8,Driving
30925,Dustin Johnson,0.056940729449140456,1.0859537022216999e-4,972,0.05976748971193415,4.653030409799359e-8,Driving
33948,Byeong Hun An,0.09173463452651531,2.8868374098241375e-4,180,0.10538888888888889,6.697231694214221e-8,Driving
27214,Kevin Streelman,0.04109311651752287,5.9936925533055005e-5,1314,0.042161339421613375,1.1090201967264672e-7,Driving
25900,Lucas Glover,0.04302678853247503,6.647001149226071e-5,1296,0.044277006172839514,1.30977190976143e-7,Driving
23983,Luke Donald,-0.05166347476135183,1.0305297949727915e-4,972,-0.054469135802469135,3.594924142540596e-7,Driving
30110,Kyle Stanley,0.05338337604385383,1.1083459946491201e-4,540,0.05607777777777776,3.9634442459369023e-7,Driving
31557,Jim Herman,0.036746877168988376,5.3788172475925815e-5,1386,0.03759090909090909,5.43018947214893e-7,Driving
22621,Ben Curtis,-0.09337587532164698,3.706510891068117e-4,396,-0.11370202020202021,1.2338984816173964e-6,Driving
24846,Ricky Barnes,-0.051450366380454124,1.179817240436501e-4,1134,-0.05467372134038803,2.1716533110286035e-6,Driving
28307,Matt Every,-0.06295011590196192,1.798916731830464e-4,1008,-0.06907242063492063,2.6865259813832326e-6,Driving
24024,Zach Johnson,0.03346241197239965,5.150200874539115e-5,1260,0.03418888888888888,3.119624152134573e-6,Driving
34431,Robert Streb,0.03133458218784435,4.5831539988204855e-5,1728,0.031932870370370375,3.682970473226831e-6,Driving
21528,Henrik Stenson,0.04212910236517411,8.5685903624846e-5,792,0.043718434343434365,5.333657661050364e-6,Driving
25240,D.A. Points,-0.04122503839031218,8.512160683483087e-5,1044,-0.04309099616858238,7.88480849121389e-6,Driving
40026,Daniel Berger,0.03197412610913252,5.811370289915523e-5,1494,0.03275502008032129,2.73716479143077e-5,Driving
24357,K.J. Choi,-0.03549648088200265,7.480134282166287e-5,1026,-0.03692105263157894,4.056817778555472e-5,Driving
23325,Vaughn Taylor,0.04184562667531439,1.0612498587751847e-4,630,0.04381904761904763,4.865147535367996e-5,Driving
22371,Aaron Baddeley,-0.04120400234601072,1.0770482340298234e-4,1188,-0.04359006734006736,7.178631396512886e-5,Driving
29420,Billy Horschel,0.03122382956605928,6.32669845381523e-5,1314,0.03205327245053272,8.654126043996992e-5,Driving
20766,Padraig Harrington,-0.04216048469743348,1.1723569035720857e-4,881,-0.04482519863791146,9.86786087671039e-5,Driving
26289,Boo Weekley,0.02991446293596312,6.36434037898526e-5,1206,0.03070895522388058,1.7699756124884243e-4,Driving
01948,Tim Petrovic,-0.06639755482923938,3.164276255970149e-4,342,-0.0785672514619883,1.8949118055504367e-4,Driving
21731,Freddie Jacobson,-0.03581651763854815,9.320057802094144e-5,738,-0.03762195121951219,2.0725822949556506e-4,Driving
33418,Shawn Stefani,0.02646875412740281,5.271893301556495e-5,1584,0.027036616161616154,2.669326076971296e-4,Driving
31646,Emiliano Grillo,0.052336664464451954,2.0876370434659116e-4,252,0.05755555555555555,2.920505116926182e-4,Driving
26679,Kevin Stadler,0.07172084475741555,3.9819956060349116e-4,144,0.08717361111111113,3.2546462148369683e-4,Driving
37273,Derek Ernst,0.02827961099127608,6.193433551024268e-5,1134,0.029003527336860666,3.263688982202615e-4,Driving
23800,Bryce Molder,-0.02570048253885381,5.1443134075731185e-5,1386,-0.026428571428571433,3.393406258514534e-4,Driving
21961,Charles Howell III,0.0243801515959039,4.6732422662586604e-5,1782,0.02483557800224467,3.6195053442734834e-4,Driving
25349,Tim Wilkinson,-0.035013486276406436,9.658033806291165e-5,1044,-0.036849616858237566,3.6692537008878984e-4,Driving
